Country,Year,Happiness_Score,GDP_per_Capita,Social_Support,Healthy_Life_Expectancy,Freedom,Generosity,Corruption_Perception,Unemployment_Rate,Education_Index,Population,Urbanization_Rate,Life_Satisfaction,Public_Trust,Mental_Health_Index,Income_Inequality,Public_Health_Expenditure,Climate_Index,Work_Life_Balance,Internet_Access,Crime_Rate,Political_Stability,Employment_Rate
China,2022,4.39,44984.68,0.53,71.11,0.41,-0.05,0.83,14.98,0.52,1311940760,78.71,8.88,0.34,76.44,46.06,8.92,62.75,8.59,74.4,70.3,0.29,61.38
UK,2015,5.49,30814.59,0.93,63.14,0.89,0.04,0.84,19.46,0.83,1194240877,50.87,5.03,0.72,53.38,46.43,4.43,53.11,8.76,91.74,73.32,0.76,80.18
Brazil,2009,4.65,39214.84,0.03,62.36,0.01,0.16,0.59,16.68,0.95,731100898,48.75,5.22,0.23,82.4,31.03,3.78,33.3,6.06,71.8,28.99,0.94,72.65
France,2019,5.2,30655.75,0.77,78.94,0.98,0.25,0.63,2.64,0.7,1293957314,81.78,5.69,0.68,46.87,57.65,4.43,90.59,6.36,86.16,45.76,0.48,55.14
China,2022,7.28,30016.87,0.05,50.33,0.62,0.18,0.92,7.7,0.92,1432971455,82.39,6.33,0.5,60.38,28.54,7.66,59.33,3.0,71.1,65.67,0.12,51.55
South Africa,2006,6.42,11135.56,0.04,77.93,0.15,0.13,0.93,2.51,0.51,975963845,53.91,7.49,0.09,86.39,34.97,6.2,77.96,7.03,77.1,46.82,0.62,51.18
Germany,2015,7.41,17444.11,0.43,70.0,0.05,0.11,0.66,2.72,0.89,568457305,30.54,5.76,0.39,89.86,31.35,2.86,40.71,4.27,71.23,54.93,0.34,70.21
China,2017,4.02,10372.31,0.06,84.51,0.54,0.15,0.01,3.43,0.53,527573191,41.19,4.52,0.87,60.71,57.24,3.1,88.03,3.77,71.65,74.6,0.42,87.83
Brazil,2008,7.37,12544.31,0.79,70.63,0.23,0.1,0.1,6.97,0.92,144610807,84.56,7.65,0.99,52.4,53.13,5.03,87.69,4.83,80.66,30.67,0.15,77.53
France,2011,3.3,58405.67,0.53,51.94,0.3,0.18,0.86,7.48,0.94,365138939,83.92,7.97,0.37,97.49,52.45,4.71,63.75,6.99,61.79,47.76,0.63,88.86
UK,2015,7.44,10033.69,0.03,51.77,0.25,0.42,0.08,9.21,0.89,111436084,57.2,5.24,0.05,85.66,20.19,8.81,77.05,5.62,89.72,49.45,0.79,65.33
Brazil,2008,4.65,16886.96,0.04,80.91,0.65,0.24,0.21,9.29,0.91,423285328,48.25,4.68,0.13,88.42,47.44,6.58,66.5,5.09,87.49,35.17,0.77,56.74
Brazil,2019,4.57,35844.79,0.61,79.44,0.55,0.31,0.23,15.89,0.78,813552507,48.16,6.64,0.79,53.37,29.21,3.49,68.66,7.36,79.89,35.78,0.99,88.54
Germany,2005,5.56,37000.54,0.81,62.11,0.08,0.22,0.6,4.55,0.63,302210118,83.83,5.04,0.66,65.47,58.71,2.23,92.22,7.88,80.89,63.83,0.21,84.94
India,2007,7.7,10084.47,0.44,71.63,0.53,0.25,0.58,4.84,0.82,1254040849,49.48,5.87,0.29,44.09,41.23,2.82,97.68,8.22,62.73,75.07,0.91,78.28
France,2018,3.24,47829.33,0.55,67.14,0.79,0.2,0.29,13.28,0.72,1008228905,60.69,7.89,0.39,46.56,42.59,7.6,55.72,5.67,85.79,54.36,0.73,92.61
Canada,2010,4.76,47326.97,0.8,83.85,0.08,-0.18,0.21,12.29,0.5,1464366535,73.86,5.1,0.81,53.26,34.26,8.78,53.22,7.31,91.29,44.16,0.71,80.27
Brazil,2022,7.28,15001.74,0.61,83.25,0.89,0.5,0.76,4.77,0.74,1212848076,42.57,8.03,0.41,58.19,41.47,8.26,51.27,8.31,83.73,62.53,0.68,75.24
India,2005,4.98,18031.31,0.22,84.43,0.58,-0.18,0.94,17.34,0.83,1247854512,45.23,7.37,0.76,99.83,49.99,8.32,83.95,8.45,47.32,79.85,0.54,74.11
Canada,2010,4.0,56341.28,0.61,80.33,0.95,0.08,0.05,7.92,0.51,758403683,51.48,5.1,0.3,65.33,42.48,4.09,80.6,5.95,83.26,15.77,0.38,79.63
France,2010,5.12,49714.62,0.63,81.83,0.15,-0.13,0.13,8.61,0.81,1462842921,69.25,6.63,0.72,81.87,45.65,9.91,33.07,5.13,65.55,55.61,0.94,74.8
USA,2020,4.93,42170.02,0.73,57.6,0.99,-0.13,0.64,9.57,0.83,1166808413,79.05,7.07,0.47,94.27,38.9,2.69,36.19,8.4,73.48,48.93,0.15,63.09
South Africa,2009,7.58,5851.76,0.62,79.09,0.64,0.36,0.8,7.81,0.58,545020280,62.8,5.0,0.55,54.76,48.66,8.57,75.23,4.57,94.51,52.72,0.18,95.79
India,2021,6.81,25677.58,0.97,74.81,0.57,0.1,0.79,12.03,0.72,733579967,37.98,4.72,0.6,48.68,55.98,2.77,49.25,7.78,59.76,11.6,0.02,95.99
Australia,2014,5.53,33998.81,0.2,83.7,0.52,0.36,0.72,9.0,0.98,1010014055,56.77,6.66,0.45,54.6,22.04,4.14,36.41,8.45,59.17,76.9,0.74,58.01
USA,2022,7.94,12057.27,0.95,69.99,0.02,-0.01,0.89,6.67,0.94,492624841,37.66,7.47,0.47,92.95,24.29,5.96,58.96,7.44,54.47,15.98,0.89,75.47
South Africa,2011,5.33,27445.37,0.54,52.98,0.94,-0.02,0.22,18.28,0.71,985905804,35.3,6.33,0.27,79.94,47.42,2.43,91.42,7.08,46.99,31.52,0.19,87.9
Germany,2007,3.29,36460.53,0.67,70.91,0.64,-0.02,0.11,7.55,0.67,1231982778,65.38,4.35,0.99,67.08,35.11,5.15,55.64,3.3,49.25,30.88,0.03,52.63
China,2017,4.31,20315.22,0.1,74.03,0.09,0.23,0.62,14.57,0.56,655773855,87.37,8.63,0.91,89.22,31.26,4.8,78.69,4.22,68.28,61.32,0.24,55.93
UK,2019,5.18,47075.74,0.38,57.71,0.02,0.37,0.82,8.25,0.52,763875261,80.26,7.47,0.53,54.2,27.14,7.18,93.04,7.0,90.04,56.97,0.88,76.15
Australia,2024,3.78,50586.53,0.77,63.79,0.05,0.12,0.58,9.83,0.65,92131433,76.47,7.11,0.03,54.35,42.91,7.74,41.85,7.71,84.54,14.32,0.02,51.36
Germany,2023,7.74,20092.96,0.71,70.95,0.61,0.07,0.96,6.25,0.97,1057378292,73.62,7.22,0.17,74.03,33.9,2.72,72.68,3.38,50.04,20.48,0.1,89.98
France,2007,6.83,50480.77,0.04,63.09,0.61,0.48,0.8,15.54,0.98,753290018,83.83,5.99,0.85,87.4,40.32,2.3,93.54,3.11,70.89,32.31,0.02,91.91
Germany,2008,4.34,7111.02,0.55,63.12,0.5,-0.12,0.7,15.27,0.91,1216608852,75.17,8.92,0.93,55.57,58.34,8.21,43.54,4.87,86.58,59.29,0.94,85.34
China,2009,5.95,50426.02,0.09,54.66,0.31,0.14,0.06,2.4,0.68,388475337,67.61,4.66,0.16,52.6,50.33,6.22,99.21,6.87,69.67,75.05,0.14,89.47
France,2005,6.61,10012.28,1.0,82.93,0.53,0.09,0.11,3.08,0.57,408424229,51.88,7.7,0.73,68.44,51.84,6.28,55.56,6.07,90.13,32.08,0.9,82.24
Australia,2008,7.71,5892.7,0.9,76.27,0.52,-0.13,0.78,18.6,0.8,1416540106,36.06,6.1,0.62,48.05,24.97,9.85,45.23,3.05,89.93,46.79,0.47,56.81
China,2016,7.41,38864.75,0.02,50.04,0.02,-0.01,0.2,18.0,0.82,421151087,57.66,8.41,0.3,84.87,33.0,5.5,88.65,3.91,59.15,36.08,0.39,51.43
